,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
3302,Shaun Wright-Phillips,41,4,5,2,0,0,2.622'
3303,Johan Elmander,38,12,3,8,0,0,3.221'
3304,John Arne Riise,44,0,4,4,0,0,2.957'
3305,Antonio Cassano,25,9,6,9,0,1,1.748'
3306,Juan Manuel Vargas,40,6,5,7,0,1,3.319'
3307,Hatem Ben Arfa,43,8,5,0,0,0,2.400'
3308,Jérémy Ménez,28,7,4,5,1,0,2.084'
3309,Marco Borriello,37,19,5,8,0,0,3.067'
3310,Albert Riera,39,4,4,9,0,0,2.918'
3311,Ricardo Oliveira,43,22,4,4,0,0,3.204'
3312,Marco Amelia,33,0,3,0,0,48,2.958'
3313,Éver Banega,33,0,4,3,1,0,2.195'
3314,Domenico Criscito,25,0,0,8,0,0,2.122'
3315,David Suazo,37,8,4,0,0,1,1.730'
3316,Luis Jiménez,22,4,1,4,0,0,1.146'
3317,Ricardo Oliveira,43,22,4,4,0,0,3.204'
3318,Júlio Baptista,32,4,2,1,0,0,1.433'
3319,Christian Poulsen,42,3,2,11,0,0,3.092'
3320,Djibril Cissé,50,22,5,8,0,0,3.885'
3321,Mathieu Flamini,40,3,1,7,0,0,3.418'
3322,Hernán Crespo,29,7,0,1,0,0,1.610'
3323,Luca Cigarini,32,3,4,9,0,0,2.378'
3324,Rafael Sóbis,29,4,1,3,0,0,1.781'
3325,Tomas Ujfalusi,43,0,2,7,0,0,3.798'
3326,Johnny Heitinga,45,9,1,10,0,0,4.079'
3327,Ezequiel Garay,29,5,0,2,1,0,2.540'
3328,Florent Sinama-Pongolle,37,10,5,6,0,1,2.960'
3329,Curtis Davies,15,1,0,1,0,0,991'
3330,Carlos Cuéllar,55,4,2,7,0,1,4.960'
3331,Anton Ferdinand,29,2,0,1,0,0,2.248'
3332,Sergio García,44,6,13,6,0,0,3.084'
3333,Thiago Silva,32,4,3,3,0,1,2.839'
3334,Thiago Neves,18,7,5,2,0,2,1.438'
3335,Giampaolo Pazzini,46,13,5,6,0,0,3.220'
3336,Vincent Kompany,37,3,1,5,1,1,2.893'
3337,Marcell Jansen,33,0,4,1,0,0,2.793'
3338,Raffaele Palladino,31,2,2,3,0,0,1.468'
3339,Fernando Meira,38,3,3,7,0,3,3.219'
3340,Ezequiel Garay,29,5,0,2,1,0,2.540'
3341,Antonio Nocerino,36,0,2,13,0,0,2.408'
3342,Mladen Petric,35,18,4,3,0,0,2.950'
3343,Keirrison,31,21,3,2,0,0,2.459'
3344,Keirrison,31,21,3,2,0,0,2.459'
3345,Keirrison,31,21,3,2,0,0,2.459'
3346,Kim,25,6,0,2,0,0,1.605'
3347,Heurelho Gomes,47,0,2,0,0,36,4.229'
3348,Andrea Dossena,36,2,3,6,1,1,3.065'
3349,Bakari Koné,32,14,3,4,0,0,2.544'
3350,Diogo,13,6,2,3,1,0,1.142'
3351,Shay Given,24,0,2,0,0,43,2.079'
3352,Christian Maggio,34,10,8,5,0,0,2.861'
3353,Steed Malbranque,55,7,6,7,0,0,4.324'
3354,Javier Arizmendi,41,1,5,6,1,0,2.004'
3355,David Beckham,27,6,9,7,0,0,2.344'
3356,Pablo Zabaleta,36,1,1,10,1,0,3.029'
3357,Hugo Lloris,30,0,2,0,0,24,2.637'
3358,Abdoulay Konko,39,3,3,7,0,0,3.347'
3359,Romaric,36,2,7,9,0,0,3.088'
3360,Savio Nsereko,13,5,0,3,1,0,676'
3361,Achille Emaná,39,7,2,9,0,0,3.484'
3362,Fernando Meira,38,3,3,7,0,3,3.219'
3363,Tim Borowski,32,4,5,8,0,0,2.495'
3364,Jermaine Pennant,25,2,7,3,1,0,1.494'
3365,John Mensah,27,1,0,3,1,0,2.341'
3366,Germán Denis,36,27,6,3,0,1,3.156'
3367,Felipe Melo,35,7,1,12,0,0,2.671'
3368,Stevan Jovetic,29,16,10,6,0,0,2.443'
3369,Loïc Rémy,21,4,2,2,0,0,1.011'
3370,Henrique,5,1,0,1,0,0,450'
3371,Amara Diané,45,15,2,3,0,0,2.950'
3372,Stéphane Sessègnon,35,5,4,9,0,1,2.936'
3373,Asamoah Gyan,13,3,0,1,0,0,733'
3374,Jorge Valdivia,16,4,5,9,0,0,1.378'
3375,Damián Escudero,29,6,4,4,0,0,2.221'
3376,Pablo Aimar,25,0,1,5,0,0,1.673'
3377,Valon Behrami,32,2,1,6,0,1,2.618'
3378,Guilherme,39,20,8,8,0,0,3.099'
3379,Matuzalém,15,1,1,2,1,1,1.043'
3380,Jack Cork,35,2,1,1,0,1,2.941'
3381,Massimo Oddo,34,1,2,4,0,0,2.526'
3382,Cesare Bovo,27,0,0,10,0,0,2.288'
3383,Juan Pablo Carrizo,34,0,4,0,0,39,3.060'
3384,Sébastien Puygrenier,46,5,1,12,0,1,3.931'
3385,Pascal Feindouno,34,8,6,1,0,0,2.686'
3386,Alex,28,15,8,5,1,0,2.235'
3387,Emre Belözoglu,17,1,5,2,0,1,703'
3388,Olof Mellberg,37,2,2,4,1,0,3.233'
3389,Louis Saha,24,5,0,0,0,0,1.107'
3390,Daniel Carvalho,26,2,3,5,0,0,1.356'
